-0.9 -8.29224e-08
-0.89 0.11535
-0.88 0.201002
-0.87 0.261517
-0.86 0.300963
-0.85 0.322956
-0.84 0.330694
-0.83 0.326991
-0.82 0.314315
-0.81 0.29481
-0.8 0.270329
-0.79 0.242463
-0.78 0.212559
-0.77 0.181752
-0.76 0.150979
-0.75 0.121006
-0.74 0.0924409
-0.73 0.0657556
-0.72 0.0413001
-0.71 0.0193182
-0.7 -3.88161e-05
-0.69 -0.0166994
-0.68 -0.03066
-0.67 -0.0419744
-0.66 -0.0507438
-0.65 -0.0571081
-0.64 -0.0612379
-0.63 -0.063327
-0.62 -0.0635864
-0.61 -0.0622381
-0.6 -0.0595099
-0.59 -0.0556314
-0.58 -0.0508296
-0.57 -0.0453257
-0.56 -0.0393323
-0.55 -0.0330507
-0.54 -0.0266692
-0.53 -0.0203612
-0.52 -0.0142843
-0.51 -0.00857921
-0.5 -0.00336897
-0.49 0.00124102
-0.48 0.00516333
-0.47 0.00832823
-0.46 0.0106834
-0.45 0.0121935
-0.44 0.0128391
-0.43 0.0126165
-0.42 0.0115364
-0.41 0.00962269
-0.4 0.00691195
-0.39 0.00345178
-0.38 -0.000700172
-0.37 -0.0054775
-0.36 -0.0108063
-0.35 -0.0166064
-0.34 -0.0227927
-0.33 -0.0292762
-0.32 -0.0359654
-0.31 -0.0427676
-0.3 -0.0495897
-0.29 -0.0563394
-0.28 -0.0629264
-0.27 -0.0692632
-0.26 -0.0752661
-0.25 -0.0808558
-0.24 -0.0859586
-0.23 -0.0905066
-0.22 -0.0944384
-0.21 -0.0977001
-0.2 -0.100245
-0.19 -0.102034
-0.18 -0.103038
-0.17 -0.103233
-0.16 -0.102606
-0.15 -0.101152
-0.14 -0.0988742
-0.13 -0.0957839
-0.12 -0.0919007
-0.11 -0.0872521
-0.1 -0.0818731
-0.09 -0.0758056
-0.08 -0.0690983
-0.07 -0.061806
-0.06 -0.0539892
-0.05 -0.0457132
-0.04 -0.0370478
-0.03 -0.0280663
-0.02 -0.0188452
-0.01 -0.00946304
6.41848e-16 6.44524e-16
0.01 0.00946304
0.02 0.0188452
0.03 0.0280663
0.04 0.0370478
0.05 0.0457132
0.06 0.0539892
0.07 0.061806
0.08 0.0690983
0.09 0.0758056
0.1 0.0818731
0.11 0.0872521
0.12 0.0919007
0.13 0.0957839
0.14 0.0988742
0.15 0.101152
0.16 0.102606
0.17 0.103233
0.18 0.103038
0.19 0.102034
0.2 0.100245
0.21 0.0977001
0.22 0.0944384
0.23 0.0905066
0.24 0.0859586
0.25 0.0808558
0.26 0.0752661
0.27 0.0692632
0.28 0.0629264
0.29 0.0563394
0.3 0.0495897
0.31 0.0427676
0.32 0.0359654
0.33 0.0292762
0.34 0.0227927
0.35 0.0166064
0.36 0.0108063
0.37 0.0054775
0.38 0.000700172
0.39 -0.00345178
0.4 -0.00691195
0.41 -0.00962269
0.42 -0.0115364
0.43 -0.0126165
0.44 -0.0128391
0.45 -0.0121935
0.46 -0.0106834
0.47 -0.00832823
0.48 -0.00516333
0.49 -0.00124102
0.5 0.00336897
0.51 0.00857921
0.52 0.0142843
0.53 0.0203612
0.54 0.0266692
0.55 0.0330507
0.56 0.0393323
0.57 0.0453257
0.58 0.0508296
0.59 0.0556314
0.6 0.0595099
0.61 0.0622381
0.62 0.0635864
0.63 0.063327
0.64 0.0612379
0.65 0.0571081
0.66 0.0507438
0.67 0.0419744
0.68 0.03066
0.69 0.0166994
0.7 3.88161e-05
0.71 -0.0193182
0.72 -0.0413001
0.73 -0.0657556
0.74 -0.0924409
0.75 -0.121006
0.76 -0.150979
0.77 -0.181752
0.78 -0.212559
0.79 -0.242463
0.8 -0.270329
0.81 -0.29481
0.82 -0.314315
0.83 -0.326991
0.84 -0.330694
0.85 -0.322956
0.86 -0.300963
0.87 -0.261517
0.88 -0.201002
0.89 -0.11535
