0	0.5	0.5
0.001	0.500752	0.500751
0.002	0.501505	0.501503
0.003	0.502259	0.502257
0.004	0.503015	0.503012
0.005	0.503773	0.503769
0.006	0.504532	0.504527
0.007	0.505292	0.505287
0.008	0.506054	0.506048
0.009	0.506818	0.506811
0.01	0.507583	0.507576
0.011	0.50835	0.508342
0.012	0.509118	0.509109
0.013	0.509888	0.509878
0.014	0.51066	0.510649
0.015	0.511433	0.511421
0.016	0.512207	0.512195
0.017	0.512983	0.51297
0.018	0.513761	0.513747
0.019	0.51454	0.514526
0.02	0.515321	0.515306
0.021	0.516104	0.516087
0.022	0.516888	0.51687
0.023	0.517674	0.517655
0.024	0.518461	0.518442
0.025	0.51925	0.51923
0.026	0.52004	0.520019
0.027	0.520832	0.520811
0.028	0.521626	0.521603
0.029	0.522421	0.522398
0.03	0.523218	0.523194
0.031	0.524017	0.523992
0.032	0.524817	0.524791
0.033	0.525619	0.525592
0.034	0.526423	0.526395
0.035	0.527228	0.527199
0.036	0.528035	0.528005
0.037	0.528843	0.528813
0.038	0.529653	0.529622
0.039	0.530465	0.530433
0.04	0.531279	0.531246
0.041	0.532094	0.53206
0.042	0.532911	0.532876
0.043	0.533729	0.533694
0.044	0.53455	0.534513
0.045	0.535372	0.535334
0.046	0.536195	0.536157
0.047	0.537021	0.536981
0.048	0.537848	0.537808
0.049	0.538677	0.538635
0.05	0.539507	0.539465
0.051	0.54034	0.540296
0.052	0.541174	0.541129
0.053	0.54201	0.541964
0.054	0.542847	0.542801
0.055	0.543686	0.543639
0.056	0.544527	0.544479
0.057	0.54537	0.545321
0.058	0.546215	0.546165
0.059	0.547061	0.54701
0.06	0.547909	0.547857
0.061	0.548759	0.548706
0.062	0.549611	0.549557
0.063	0.550464	0.550409
0.064	0.55132	0.551263
0.065	0.552177	0.552119
0.066	0.553036	0.552977
0.067	0.553896	0.553837
0.068	0.554759	0.554698
0.069	0.555623	0.555562
0.07	0.556489	0.556427
0.071	0.557357	0.557294
0.072	0.558227	0.558163
0.073	0.559099	0.559033
0.074	0.559972	0.559906
0.075	0.560848	0.56078
0.076	0.561725	0.561656
0.077	0.562604	0.562534
0.078	0.563485	0.563414
0.079	0.564368	0.564296
0.08	0.565253	0.56518
0.081	0.566139	0.566065
0.082	0.567028	0.566953
0.083	0.567918	0.567842
0.084	0.568811	0.568733
0.085	0.569705	0.569626
0.086	0.570601	0.570521
0.087	0.571499	0.571418
0.088	0.572399	0.572317
0.089	0.573301	0.573218
0.09	0.574205	0.574121
0.091	0.575111	0.575026
0.092	0.576019	0.575932
0.093	0.576929	0.576841
0.094	0.57784	0.577751
0.095	0.578754	0.578664
